data,ano,mes,mes_nome,trimestre,semana,dia_semana,ano_mes
2017-01-01,2017,1,January,1,52,Sunday,2017-01
2017-01-02,2017,1,January,1,1,Monday,2017-01
2017-01-03,2017,1,January,1,1,Tuesday,2017-01
2017-01-04,2017,1,January,1,1,Wednesday,2017-01
2017-01-05,2017,1,January,1,1,Thursday,2017-01
2017-01-06,2017,1,January,1,1,Friday,2017-01
2017-01-07,2017,1,January,1,1,Saturday,2017-01
2017-01-08,2017,1,January,1,1,Sunday,2017-01
2017-01-09,2017,1,January,1,2,Monday,2017-01
2017-01-10,2017,1,January,1,2,Tuesday,2017-01
2017-01-11,2017,1,January,1,2,Wednesday,2017-01
2017-01-12,2017,1,January,1,2,Thursday,2017-01
2017-01-13,2017,1,January,1,2,Friday,2017-01
2017-01-14,2017,1,January,1,2,Saturday,2017-01
2017-01-15,2017,1,January,1,2,Sunday,2017-01
2017-01-16,2017,1,January,1,3,Monday,2017-01
2017-01-17,2017,1,January,1,3,Tuesday,2017-01
2017-01-18,2017,1,January,1,3,Wednesday,2017-01
2017-01-19,2017,1,January,1,3,Thursday,2017-01
2017-01-20,2017,1,January,1,3,Friday,2017-01
2017-01-21,2017,1,January,1,3,Saturday,2017-01
2017-01-22,2017,1,January,1,3,Sunday,2017-01
2017-01-23,2017,1,January,1,4,Monday,2017-01
2017-01-24,2017,1,January,1,4,Tuesday,2017-01
2017-01-25,2017,1,January,1,4,Wednesday,2017-01
2017-01-26,2017,1,January,1,4,Thursday,2017-01
2017-01-27,2017,1,January,1,4,Friday,2017-01
2017-01-28,2017,1,January,1,4,Saturday,2017-01
2017-01-29,2017,1,January,1,4,Sunday,2017-01
2017-01-30,2017,1,January,1,5,Monday,2017-01
2017-01-31,2017,1,January,1,5,Tuesday,2017-01
2017-02-01,2017,2,February,1,5,Wednesday,2017-02
2017-02-02,2017,2,February,1,5,Thursday,2017-02
2017-02-03,2017,2,February,1,5,Friday,2017-02
2017-02-04,2017,2,February,1,5,Saturday,2017-02
2017-02-05,2017,2,February,1,5,Sunday,2017-02
2017-02-06,2017,2,February,1,6,Monday,2017-02
2017-02-07,2017,2,February,1,6,Tuesday,2017-02
2017-02-08,2017,2,February,1,6,Wednesday,2017-02
2017-02-09,2017,2,February,1,6,Thursday,2017-02
2017-02-10,2017,2,February,1,6,Friday,2017-02
2017-02-11,2017,2,February,1,6,Saturday,2017-02
2017-02-12,2017,2,February,1,6,Sunday,2017-02
2017-02-13,2017,2,February,1,7,Monday,2017-02
2017-02-14,2017,2,February,1,7,Tuesday,2017-02
2017-02-15,2017,2,February,1,7,Wednesday,2017-02
2017-02-16,2017,2,February,1,7,Thursday,2017-02
2017-02-17,2017,2,February,1,7,Friday,2017-02
2017-02-18,2017,2,February,1,7,Saturday,2017-02
2017-02-19,2017,2,February,1,7,Sunday,2017-02
2017-02-20,2017,2,February,1,8,Monday,2017-02
2017-02-21,2017,2,February,1,8,Tuesday,2017-02
2017-02-22,2017,2,February,1,8,Wednesday,2017-02
2017-02-23,2017,2,February,1,8,Thursday,2017-02
2017-02-24,2017,2,February,1,8,Friday,2017-02
2017-02-25,2017,2,February,1,8,Saturday,2017-02
2017-02-26,2017,2,February,1,8,Sunday,2017-02
2017-02-27,2017,2,February,1,9,Monday,2017-02
2017-02-28,2017,2,February,1,9,Tuesday,2017-02
2017-03-01,2017,3,March,1,9,Wednesday,2017-03
2017-03-02,2017,3,March,1,9,Thursday,2017-03
2017-03-03,2017,3,March,1,9,Friday,2017-03
2017-03-04,2017,3,March,1,9,Saturday,2017-03
2017-03-05,2017,3,March,1,9,Sunday,2017-03
2017-03-06,2017,3,March,1,10,Monday,2017-03
2017-03-07,2017,3,March,1,10,Tuesday,2017-03
2017-03-08,2017,3,March,1,10,Wednesday,2017-03
2017-03-09,2017,3,March,1,10,Thursday,2017-03
2017-03-10,2017,3,March,1,10,Friday,2017-03
2017-03-11,2017,3,March,1,10,Saturday,2017-03
2017-03-12,2017,3,March,1,10,Sunday,2017-03
2017-03-13,2017,3,March,1,11,Monday,2017-03
2017-03-14,2017,3,March,1,11,Tuesday,2017-03
2017-03-15,2017,3,March,1,11,Wednesday,2017-03
2017-03-16,2017,3,March,1,11,Thursday,2017-03
2017-03-17,2017,3,March,1,11,Friday,2017-03
2017-03-18,2017,3,March,1,11,Saturday,2017-03
2017-03-19,2017,3,March,1,11,Sunday,2017-03
2017-03-20,2017,3,March,1,12,Monday,2017-03
2017-03-21,2017,3,March,1,12,Tuesday,2017-03
2017-03-22,2017,3,March,1,12,Wednesday,2017-03
2017-03-23,2017,3,March,1,12,Thursday,2017-03
2017-03-24,2017,3,March,1,12,Friday,2017-03
2017-03-25,2017,3,March,1,12,Saturday,2017-03
2017-03-26,2017,3,March,1,12,Sunday,2017-03
2017-03-27,2017,3,March,1,13,Monday,2017-03
2017-03-28,2017,3,March,1,13,Tuesday,2017-03
2017-03-29,2017,3,March,1,13,Wednesday,2017-03
2017-03-30,2017,3,March,1,13,Thursday,2017-03
2017-03-31,2017,3,March,1,13,Friday,2017-03
2017-04-01,2017,4,April,2,13,Saturday,2017-04
2017-04-02,2017,4,April,2,13,Sunday,2017-04
2017-04-03,2017,4,April,2,14,Monday,2017-04
2017-04-04,2017,4,April,2,14,Tuesday,2017-04
2017-04-05,2017,4,April,2,14,Wednesday,2017-04
2017-04-06,2017,4,April,2,14,Thursday,2017-04
2017-04-07,2017,4,April,2,14,Friday,2017-04
2017-04-08,2017,4,April,2,14,Saturday,2017-04
2017-04-09,2017,4,April,2,14,Sunday,2017-04
2017-04-10,2017,4,April,2,15,Monday,2017-04
2017-04-11,2017,4,April,2,15,Tuesday,2017-04
2017-04-12,2017,4,April,2,15,Wednesday,2017-04
2017-04-13,2017,4,April,2,15,Thursday,2017-04
2017-04-14,2017,4,April,2,15,Friday,2017-04
2017-04-15,2017,4,April,2,15,Saturday,2017-04
2017-04-16,2017,4,April,2,15,Sunday,2017-04
2017-04-17,2017,4,April,2,16,Monday,2017-04
2017-04-18,2017,4,April,2,16,Tuesday,2017-04
2017-04-19,2017,4,April,2,16,Wednesday,2017-04
2017-04-20,2017,4,April,2,16,Thursday,2017-04
2017-04-21,2017,4,April,2,16,Friday,2017-04
2017-04-22,2017,4,April,2,16,Saturday,2017-04
2017-04-23,2017,4,April,2,16,Sunday,2017-04
2017-04-24,2017,4,April,2,17,Monday,2017-04
2017-04-25,2017,4,April,2,17,Tuesday,2017-04
2017-04-26,2017,4,April,2,17,Wednesday,2017-04
2017-04-27,2017,4,April,2,17,Thursday,2017-04
2017-04-28,2017,4,April,2,17,Friday,2017-04
2017-04-29,2017,4,April,2,17,Saturday,2017-04
2017-04-30,2017,4,April,2,17,Sunday,2017-04
